category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,542944,1,9,54,56,,542944,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Mads Oxlund",dk
C,633734,1,9,54,19,1,633734,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Slawek Kinol [TeamPL]",pl
C,787402,1,9,54,19,,787402,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Kristof Wąsowski",pl
C,835275,1,9,54,19,2,835275,0,,00dd00,,,,,0,1,,"Gert Roukema",nl
B,50134,1,8,54,63,3,50134,0,BRT,ffffff,050505,ff8100,,,4,1,,"Jason Murtagh ⚡️BRT",gb
A,177885,1,8,54,36,,177885,0,,00dd00,,,,,0,1,,"Chris Beck",us
A,187981,1,8,54,36,,187981,0,,00dd00,,,,,0,1,,"James Waugh",gb
C,218823,1,8,54,24,,218823,0,,00dd00,,,,,0,1,,"Keith Walberg",no
A,238619,2,8,54,36,3,238619,0,TTK,ea1c20,ffffff,090909,,,2304,1,,"Øyvind Bertelsen-Tangvik",no
B,255651,1,8,54,63,,255651,0,BRT,ffffff,050505,ff8100,,,4,1,,"Lee  Chalk  BRT",gb
B,284908,1,8,54,63,,284908,0,C2C,ffffff,46baf2,ff1e1e,,,2832,1,,"Paul Hopper ",gb
B,397809,1,8,54,63,,397809,0,,00dd00,,,,,0,1,,"Chris Staubach",de
C,462950,1,8,54,24,,462950,0,,00dd00,,,,,0,1,,"Ivo Roilev",bg
C,516040,1,8,54,24,2,516040,0,,00dd00,,,,,0,1,,"Ben Weir",gb
A,924867,1,8,54,36,1,924867,0,,00dd00,,,,,0,1,,"Andrew Foster",gb-eng
B,8466,1,7,54,67,,8466,0,,00dd00,,,,,0,1,,"Tyler Graf",us
B,10526,1,7,54,67,,10526,0,,00dd00,,,,,0,1,,"Carl (cat B)",se
A,10853,1,7,54,40,,10853,0,,00dd00,,,,,0,1,,"John Blumenthal",ca
C,60705,1,7,54,27,,60705,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Dominik Kaczmarek",pl
A,74916,1,7,54,40,,74916,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Guillaume Belgy",fr
A,77990,1,7,54,40,2,77990,0,BRT,ffffff,050505,ff8100,,,4,1,,"Grahame Mckenzie[BRT]",gb
C,99649,1,7,54,27,,99649,0,,00dd00,,,,,0,1,,"John Husome 2764",us
C,246094,1,7,54,27,3,246094,0,BRT,ffffff,050505,ff8100,,,4,1,,"David Swan [BRT]",gb-wls
A,528156,1,7,54,40,,528156,0,,00dd00,,,,,0,1,,"Adam Sullivan",us
C,737762,1,7,54,27,,737762,0,,00dd00,,,,,0,1,,"Tom Waddell",gb
B,822214,1,7,54,67,,822214,0,,00dd00,,,,,0,1,,"Steve Shrubsall",gb
D,851589,1,7,54,2,1,851589,0,"Team JZQC",ffffff,003399,ffffff,,,2571,1,,"Glenn Houston ",ca
C,932285,1,7,54,27,,932285,0,DIRT,29ec34,563c0f,df6a0d,,,2707,1,,"Thomas Hudgens",us
A,40091,1,6,54,44,,40091,0,,00dd00,,,,,0,1,,"Jody Hall",gb
A,135104,1,6,54,44,,135104,0,TOMBC,ffffff,0073b7,ffffff,,,658,1,,"Jason O&#039;Neill",us
C,171914,1,6,54,32,,171914,0,,00dd00,,,,,0,1,,"Hans Svendsen (KWCC)",dk
B,181270,1,6,54,70,,181270,0,,00dd00,,,,,0,1,,"Super Nintendo",us
B,189547,1,6,54,70,,189547,0,,00dd00,,,,,0,1,,"Andrei Hreapca 🐢 ",ro
C,229873,1,6,54,32,,229873,0,,00dd00,,,,,0,1,,"Rob van den Akker",nl
A,237172,1,6,54,44,,237172,0,,00dd00,,,,,0,1,,"Sam Wadsley",gb
B,458588,1,6,54,70,,458588,0,YYJPower,ffffff,0d0303,ff0000,,,2994,1,,"Stéphane Tran",ca
C,550910,1,6,54,32,,550910,0,,00dd00,,,,,0,1,,"Maarten Lobregt",nl
A,592960,1,6,54,44,,592960,0,,00dd00,,,,,0,1,,"Adrian Lawson ZHR (D)",gb
C,675989,1,6,54,32,,675989,0,,00dd00,,,,,0,1,,"Juergen Staub",de
B,779353,1,6,54,70,,779353,0,,00dd00,,,,,0,1,,"Christian Larsson",se
C,892873,1,6,54,32,,892873,0,Beet-It,0dfff0,870c0c,8fd6d6,,,1983,1,,"Roberto Tol6299",nl
C,45213,2,5,54,37,,45213,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Reg Bestwick TFC ",gb-eng
A,77016,1,5,54,48,,77016,0,"Team SUI",ffffff,ff0017,ffffff,,,391,1,,"Rene Mrazek",ch
C,255829,1,5,54,37,,255829,0,,00dd00,,,,,0,1,,"Sven Muschellik",at
D,319413,1,5,54,3,3,319413,0,TAA,e2f508,152fba,ffffff,,,2030,1,,"Jim Zwolensky",us
A,423288,1,5,54,48,,423288,0,,00dd00,,,,,0,1,,"Henrico Berkelaar",nl
A,434269,1,5,54,48,,434269,0,,00dd00,,,,,0,1,,"Ian Auld ",ca
C,533103,1,5,54,37,,533103,0,"Team TFC Racing",111111,f3f300,111111,,,10,1,,"Jim Rauser",us
C,787615,1,5,54,37,,787615,0,"Team Brasil",ffffff,0073b7,ffffff,,,605,1,,"Ivan Souza",br
B,789068,1,5,54,74,,789068,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Andrew Mudge Race3R",gb
B,870284,1,5,54,74,,870284,0,,00dd00,,,,,0,1,,"Marcus Ejeholt SZR B",se
C,874784,1,5,54,37,,874784,0,,00dd00,,,,,0,1,,"Martin Phaneuf",ca
D,879650,1,5,54,3,1,879650,0,,00dd00,,,,,0,1,,"G Guy",us
B,882909,1,5,54,74,,882909,0,,00dd00,,,,,0,1,,"Kelen Epp",ca
A,53663,1,4,54,51,,53663,0,teamWKG,fa5e06,3f4c54,3f4c54,,,1330,1,,"Brian Rhoden",gb
A,95269,1,4,54,51,,95269,0,BRT,ffffff,050505,ff8100,,,4,1,,"Roby Rippinger",lu
C,243878,1,4,54,42,1,243878,0,,00dd00,,,,,0,1,,"Patrice Henri",ca
D,259123,1,4,54,5,1,259123,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Christian Svendsen",dk
B,313582,1,4,54,77,,313582,0,HIK,ffffff,0073b7,ffffff,,,719,1,,"Thijs Diepenmaat",nl
B,416074,1,4,54,77,,416074,0,,00dd00,,,,,0,1,,"Grethe Opsahl",no
A,586093,1,4,54,51,,586093,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Bernard Opedal",no
C,715796,1,4,54,42,,715796,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Key RCTeam [Team Poland]",pl
D,878090,1,4,54,5,2,878090,0,,00dd00,,,,,0,1,,"Andreas FNZ",de
C,902961,1,4,54,42,,902961,0,SZR,ffffff,0073b7,ffffff,,,111,1,,"Gunnar Wik",se
C,932570,1,4,54,42,,932570,0,,00dd00,,,,,0,1,,"Jura Gerlach",us
B,50676,1,3,54,79,,50676,0,,00dd00,,,,,0,1,,"Richard Sparkes",gb
B,56545,1,3,54,79,,56545,0,,00dd00,,,,,0,1,,"Jakob Kornbek 9276",dk
A,167741,1,3,54,54,,167741,0,BRT,ffffff,050505,ff8100,,,4,1,,"Olly Gray",gb
A,210781,1,3,54,54,,210781,0,LaPrima,ffffff,0b1838,ff69b4,,,2586,1,,"David Galati",us
B,225553,1,3,54,79,,225553,0,"TriRun ",ffffff,0073b7,ffffff,,,3261,1,,"Gabe K",at
A,261091,1,3,54,54,,261091,0,,00dd00,,,,,0,1,,"Rik Swieringa",nl
A,445200,1,3,54,54,,445200,0,,00dd00,,,,,0,1,,"Mees Willemsen",nl
D,719976,1,3,54,7,1,719976,0,,00dd00,,,,,0,1,,"Andreas Mailand 3232",dk
