category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,84775,1,9,59,214,,84775,0,,00dd00,,,,,0,1,,"Lars Madsen 9882",dk
A,85792,1,9,59,102,,85792,0,"Team CLS",3d9970,ffffff,ffffff,,,1426,1,,"Chris Barnett",au
C,86847,2,9,59,104,1,86847,0,,00dd00,,,,,0,1,,"Brian Kanuse ",us
B,101846,1,9,59,214,,101846,0,,00dd00,,,,,0,1,,"Paul Beaton",gb-wls
C,168295,1,9,59,104,,168295,0,"Hisingens CK",ffffff,0073b7,ffffff,,,116,1,,"Magnus Johansson",se
B,183543,1,9,59,214,,183543,0,,00dd00,,,,,0,1,,"Tom Danielstone (KISS Race B)",al
B,186376,1,9,59,214,1,186376,0,,00dd00,,,,,0,1,,"Stefan Stefanov",bg
B,218775,1,9,59,214,,218775,0,,00dd00,,,,,0,1,,"John Stadick-USMES",us
C,243346,1,9,59,104,,243346,0,,00dd00,,,,,0,1,,"Jesse Oberweather",us
A,247818,1,9,59,102,,247818,0,"VS CYCLES",ffffff,0073b7,ffffff,,,783,1,,"Paul Waddington",gb
B,262564,1,9,59,214,,262564,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"thomas johansen",no
A,266506,1,9,59,102,,266506,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Matthew De Pauw",be
B,304933,1,9,59,214,,304933,0,SZR,ffffff,0073b7,ffffff,,,111,1,,"Viktor Lindeberg",se
B,309460,1,9,59,214,,309460,0,,00dd00,,,,,0,1,,"Werner Altewischer",nl
C,314482,1,9,59,104,,314482,0,,00dd00,,,,,0,1,,"Jaime  Lewis",gb-eng
B,346642,2,9,59,214,2,346642,0,,00dd00,,,,,0,1,,"Eric Malzahn",us
C,387437,1,9,59,104,,387437,0,,00dd00,,,,,0,1,,"Chris Benson",gb-eng
A,413575,1,9,59,102,,413575,0,"Team SUI",ffffff,ff0017,ffffff,,,391,1,,"Patrik Walde",ch
B,437090,1,9,59,214,,437090,0,,00dd00,,,,,0,1,,"Simone Borghesi",it
C,459865,1,9,59,104,,459865,0,,00dd00,,,,,0,1,,"Max Noger (Rollers) ",ca
A,490481,1,9,59,102,,490481,0,,00dd00,,,,,0,1,,"Henrik Johannesson",dk
B,513856,1,9,59,214,2,513856,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Jan R. Ekedal",no
B,542944,1,9,59,214,,542944,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Mads Oxlund",dk
C,633734,1,9,59,104,1,633734,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Slawek Kinol [TeamPL]",pl
C,670790,1,9,59,104,,670790,0,,00dd00,,,,,0,1,,"Pablo Underwood",ie
D,673316,1,9,59,4,2,673316,0,,00dd00,,,,,0,1,,"robert grainger ",gb
C,675173,1,9,59,104,,675173,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Sebastian Lopens",de
C,687681,1,9,59,104,,687681,0,,00dd00,,,,,0,1,,"Anders Körner",se
A,715822,2,9,59,102,,715822,0,,00dd00,,,,,0,1,,"koen  ter horst",nl
C,787402,1,9,59,104,,787402,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Kristof Wąsowski",pl
C,835275,1,9,59,104,2,835275,0,,00dd00,,,,,0,1,,"Gert Roukema",nl
C,861220,1,9,59,104,,861220,0,,00dd00,,,,,0,1,,"R8key R8key",gb
C,899300,1,9,59,104,2,899300,0,,00dd00,,,,,0,1,,"Jelle Roest",nl
C,909579,1,9,59,104,,909579,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Krzysztof Domanski",pl
C,917529,1,9,59,104,1,917529,0,,00dd00,,,,,0,1,,"Gerald-Friedrich Uckerz",de
C,2389,1,8,59,122,,2389,0,WattFest,000000,228b22,32cd32,,,3093,1,,"Nathan Loop",us
A,8021,1,8,59,111,1,8021,0,,00dd00,,,,,0,1,,"Isaac Beall",ca
A,21486,1,8,59,111,2,21486,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Roman T ✪",de
B,45225,1,8,59,232,1,45225,0,DIRT,29ec34,563c0f,df6a0d,,,2707,1,,"Aleksandr Simashin",ru
A,48456,1,8,59,111,2,48456,0,"Team X",f5f7f6,111111,00a65a,,,2,1,,"Shawn Gray [X] A1",gb
B,50134,1,8,59,232,3,50134,0,BRT,ffffff,050505,ff8100,,,4,1,,"Jason Murtagh ⚡️BRT",gb
A,56138,2,8,59,111,,56138,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Kristin Falck",no
A,66410,1,8,59,111,,66410,0,,00dd00,,,,,0,1,,"Øystein Løvholt",no
B,70034,1,8,59,232,,70034,0,,00dd00,,,,,0,1,,"Joel MD",au
A,70787,2,8,59,111,2,70787,0,,00dd00,,,,,0,1,,"Chris Smith ZHR A",gb-wls
B,90832,1,8,59,232,2,90832,0,"ZPH Philippines",ffffff,64e1f6,000000,,,2674,1,,"Richard Bach",ph
B,123141,1,8,59,232,3,123141,0,,00dd00,,,,,0,1,,"Tim Parker",gb
A,148632,2,8,59,111,,148632,0,BRT,ffffff,050505,ff8100,,,4,1,,"Leo Diaz",es
B,154233,1,8,59,232,,154233,0,,00dd00,,,,,0,1,,"Tim Tinus",nl
C,158881,1,8,59,122,1,158881,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Mitch Bultinck",be
A,177885,1,8,59,111,,177885,0,,00dd00,,,,,0,1,,"Chris Beck",us
A,178610,1,8,59,111,,178610,0,,00dd00,,,,,0,1,,"Hunter Garrison",us
A,193909,2,8,59,111,,193909,0,,00dd00,,,,,0,1,,"y^o^ kai",jp
B,211178,1,8,59,232,,211178,0,"Oroloko Team",ffffff,0073b7,ffffff,,,1892,1,,"Robert Oroloko",pl
C,218823,1,8,59,122,,218823,0,,00dd00,,,,,0,1,,"Keith Walberg",no
C,220376,1,8,59,122,,220376,0,,00dd00,,,,,0,1,,"Michael K&ouml;pke",de
B,221451,2,8,59,232,,221451,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Garry Banks",gb
C,222240,1,8,59,122,,222240,0,,00dd00,,,,,0,1,,"Michael Salinger",us
